id,coID_x,floorID,group_isic,industry_isic,industry Title,group Title,coID_y,coCode,coTitle,coTitleEnglish,coSymbol,coSymbolEnglish,floorTitle,industryID,industryTitle,tseCode,tseCIsinCode,tseSIsinCode,marketID,marketTitle,precedencyRight,acceptionDate,acceptionDateGre,enlistedDate,enlistedDateGre,ipoDate,ipoDateGre
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,13246,121503,شیر و گوشت زاگرس شهرکرد,Zagros Meat & Milk Co.,زشگزا,ZMMZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i26259366519412975,IRO3ZMMZ0008,IRO3ZMMZ0001,2,فرابورس,0,1394/11/03,2016-01-23T00:00:00,1395/10/15,2017-01-04T00:00:00,1396/10/26,2018-01-16T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1013246,121503,ح. شیر و گوشت زاگرس شهرکرد,Zagros Meat & Milk Co.-R,زشگزاح,ZMMX,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,2,فرابورس,1,1394/11/03,2016-01-23T00:00:00,1395/10/15,2017-01-04T00:00:00,1396/10/26,2018-01-16T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,13493,121504,کشاورزی و دامپروری بینالود نیشابور,Binalood Agriculture & Animal Husbandry Co.,زبینا,BAHZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i54482686501491508,IRO3BAHZ0007,IRO3BAHZ0001,2,فرابورس,0,1396/02/10,2017-04-30T00:00:00,1396/08/10,2017-11-01T00:00:00,1397/04/19,2018-07-10T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1013493,121504,ح. کشاورزی و دامپروری بینالود نیشابور,Binalood Agriculture & Animal Husbandry Co.-R,زبیناح,BAHX,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,2,فرابورس,1,1396/02/10,2017-04-30T00:00:00,1396/08/10,2017-11-01T00:00:00,1397/04/19,2018-07-10T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,13499,121505,کشت و دام قیام اصفهان,Ghiam Agriculture & Animal Husbandry Co.,زقیام,GAHZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i71290297158948749,IRO3GAHZ0002,IRO3GAHZ0001,2,فرابورس,0,1395/12/18,2017-03-08T00:00:00,1396/08/24,2017-11-15T00:00:00,1397/04/25,2018-07-16T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1013499,121505,ح. کشت و دام قیام اصفهان,Ghiam Agriculture & Animal Husbandry Co.-R,زقیامح,GAHX,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i19120684319502050,,,2,فرابورس,1,1395/12/18,2017-03-08T00:00:00,1396/08/24,2017-11-15T00:00:00,1397/04/25,2018-07-16T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,14269,121506,کشاورزی مکانیزه اصفهان کشت,Isfahan Kesht Agricultural Co.,زکشت,IKAZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i7300125658580126,IRO3IKAZ0005,IRO3IKAZ0001,2,فرابورس,0,1396/09/25,2017-12-16T00:00:00,1397/03/20,2018-06-10T00:00:00,1397/09/21,2018-12-12T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1014269,121506,ح. کشاورزی مکانیزه اصفهان کشت,Isfahan Kesht Agricultural Co.-R,زکشتح,IKAX,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,2,فرابورس,1,1396/09/25,2017-12-16T00:00:00,1397/03/20,2018-06-10T00:00:00,1397/09/21,2018-12-12T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,14303,121507,مجتمع کشت و صنعت و دامپروری و مرغداری دشت خرمدره,Dashte Khoramdareh Argo-Industrial Co.,زدشت,DKHZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i25180702353416009,IRO3DKHZ0003,IRO3DKHZ0001,2,فرابورس,0,1396/09/25,2017-12-16T00:00:00,1397/06/24,2018-09-15T00:00:00,1397/10/23,2019-01-13T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1014303,121507,ح. مجتمع کشت و صنعت و دامپروری و مرغداری دشت خرمدره,Dashte Khoramdareh Argo-Industrial Co.-R,زدشتح,DKHX,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,2,فرابورس,1,1396/09/25,2017-12-16T00:00:00,1397/06/24,2018-09-15T00:00:00,1397/10/23,2019-01-13T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,13531,121508,کشت و دامداری فکا,FKA Animal Husbandry & Agriculture Co.,زفکا,FAAZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i5427792638736934,IRO3FAAZ0000,IRO3FAAZ0001,2,فرابورس,0,1397/03/20,2018-06-10T00:00:00,1397/11/14,2019-02-03T00:00:00,1397/11/24,2019-02-13T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1013531,121508,ح. کشت و دامداری فکا,FKA Animal Husbandry & Agriculture Co.-R,زفکاح,FAAX,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i66862855436943996,,,2,فرابورس,1,1397/03/20,2018-06-10T00:00:00,1397/11/14,2019-02-03T00:00:00,1397/11/24,2019-02-13T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,14329,121509,کشت و صنعت شریف آباد,Sharif Abad Agroindustrial Co.,زشریف,SAAZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i26547785441834730,IRO3SAAZ0005,IRO3SAAZ0001,2,فرابورس,0,1397/06/03,2018-08-25T00:00:00,1397/12/01,2019-02-20T00:00:00,1398/02/31,2019-05-21T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1014329,121509,ح. کشت و صنعت شریف آباد,Sharif Abad Agroindustrial Co.-R,زشریفح,SAAX,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,2,فرابورس,1,1397/06/03,2018-08-25T00:00:00,1397/12/01,2019-02-20T00:00:00,1398/02/31,2019-05-21T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,13532,121510,کشاورزی و دامپروری ملارد شیر,Malard Agriculture & Animal Husbandry Co.,زملارد,MAHZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i14916489896692147,IRO3MAHZ0004,IRO3MAHZ0001,2,فرابورس,0,1398/12/13,2020-03-03T00:00:00,1399/04/31,2020-07-21T00:00:00,1399/05/22,2020-08-12T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1013532,121510,ح. کشاورزی و دامپروری ملارد شیر,Malard Agriculture & Animal Husbandry Co.-R,زملاردح,MAHX,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i57789973477176391,,,2,فرابورس,1,1398/12/13,2020-03-03T00:00:00,1399/04/31,2020-07-21T00:00:00,1399/05/22,2020-08-12T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,14795,121511,کشت و صنعت امداد سپاهان گلدشت,Emdad Sepahan Goldasht Agroindustrial Co.,زسپاها,ESGZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i71281455914456043,IRO3ESGZ0005,IRO3ESGZ0001,2,فرابورس,0,1399/07/21,2020-10-12T00:00:00,1400/04/01,2021-06-22T00:00:00,,
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,13263,121512,کشاورزی و دامپروری فجر اصفهان,Fajr Isfahan Agriculture & Animal Husbandry Co.,زفجر,FAHZ,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i36844527173896115,IRO3FAHZ0001,IRO3FAHZ0001,2,فرابورس,0,1399/10/29,2021-01-18T00:00:00,1400/06/27,2021-09-18T00:00:00,,
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,14571,121601,کشت و صنعت جوین,Jovain Industrial & Agricultural Co.,جوین,JAIP,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,i23269285154135003,IRO7JAIP0006,IRO7JAIP0001,16,پایه,0,1397/04/23,2018-07-14T00:00:00,1397/04/23,2018-07-14T00:00:00,1399/08/07,2020-10-28T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1014571,121601,ح. کشت و صنعت جوین,Jovain Industrial & Agricultural Co.-R,جوینح,JAIX,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,16,پایه,1,1397/04/23,2018-07-14T00:00:00,1397/04/23,2018-07-14T00:00:00,1399/08/07,2020-10-28T00:00:00
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,12624,121777,موسسه کشت و صنعت مزرعه نمونه آستان قدس رضوی,,,,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,30,تابعه,0,,,,,,
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,12625,121778,موسسه دامپروری صنعتی قدس رضوی,,,,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,30,تابعه,0,,,,,,
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,1792,121887,کشت و صنعت شاهدان سبز,,ذثعمرا1,,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,30,تابعه,0,,,,,,
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,13941,121978,امید آوران سبز هگمتان,,قهکمت1,,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,30,تابعه,0,,,,,,
338,1,1,150,1,كشاورزي، دامپروري و خدمات وابسته به آن,كشاورزي و دامپروري,14024,121979,توسعه کشاورزی فارس,,ثفارس2,,کشاورزی و دامپروری,1,کشاورزی، دامپروری و خدمات وابسته به آن,      ,,,30,تابعه,0,,,,,,
